"E8033100","E8043100","E8043500","R0000100","R0070700","R0343700","R0344200","R0344900","R0360300","R0360400","R0360500","R0365900","R0366000","R0536300","R0536401","R0536402","R0648900","R1204500","R1235800","R1482600"
0,0,0,189,1,3,3,1,0,0,0,0,-4,2,8,1984,-4,-4,1,4
2,0,0,190,1,3,3,1,1,1,0,0,-4,1,10,1983,0,-3,1,4
6,0,0,191,2,-4,-4,-4,1,0,0,0,-4,1,2,1982,0,80500,1,4
0,0,0,192,1,-4,-4,-4,0,0,0,0,-4,2,3,1982,0,3070,1,2
1,0,0,193,3,-4,-4,-4,1,0,0,0,-4,2,2,1981,0,35820,1,1
1,0,0,194,1,-4,-4,-4,0,0,1,0,-4,2,10,1980,0,43000,1,2
11,2,11,195,1,3,2,1,1,1,0,1,1,1,1,1983,0,40100,1,1
1,0,0,196,1,3,1,6,0,0,0,0,-4,1,4,1984,0,-3,1,2
0,0,0,197,1,-4,-4,-4,0,0,0,0,-4,2,12,1981,0,-3,1,4
1,0,0,198,2,-4,-4,-4,1,0,0,1,1,2,7,1980,-4,-4,1,4
7,0,0,199,1,-4,-4,-4,0,0,0,1,2,1,6,1982,0,115900,1,4
0,0,0,200,2,-4,-4,-4,1,0,0,0,-4,1,8,1980,0,-3,1,4
0,0,0,201,1,3,0,1,0,0,0,0,-4,2,12,1983,0,80300,1,4
0,0,0,202,1,-4,-4,-4,0,0,0,0,-4,1,1,1982,-4,-4,1,4
0,0,0,203,1,-4,-4,-4,0,0,0,0,-4,2,1,1984,-4,-4,1,4
0,0,0,204,2,-4,-4,-4,1,0,0,0,-4,2,5,1981,0,41000,1,4
0,0,0,205,1,1,5,6,1,0,0,0,-4,2,11,1983,0,41000,1,4
1,0,0,206,2,-4,-4,-4,0,0,0,0,-4,1,2,1982,0,17500,1,4
0,0,0,207,1,-4,-4,-4,1,1,0,0,-4,2,11,1981,0,75500,1,4
0,0,0,208,1,3,2,1,0,0,0,0,-4,2,3,1984,0,75500,1,4
0,0,0,209,2,1,0,1,1,0,0,0,-4,1,6,1983,0,36000,1,2
0,0,0,210,1,1,0,6,1,0,0,0,-4,1,5,1984,0,36000,1,2
0,0,0,211,1,-4,-4,-4,0,1,0,0,-4,2,6,1980,0,-3,1,2
0,0,0,212,1,-4,-4,-4,0,0,0,0,-4,1,2,1980,0,17900,1,2
0,0,0,213,1,-4,-4,-4,0,0,0,0,-4,2,4,1982,0,17900,1,2
0,0,0,214,1,-4,-4,-4,0,0,0,0,-4,2,11,1982,0,37400,1,2
0,0,0,215,2,-4,-4,-4,1,1,0,0,-4,1,5,1981,0,-3,1,2
0,0,0,216,1,-4,-4,-4,0,0,0,0,-4,2,6,1980,0,71900,1,2
0,0,0,217,5,-4,-4,-4,0,0,0,0,-4,2,11,1982,-4,-4,1,2
0,0,0,218,2,3,1,1,0,0,0,0,-4,1,9,1983,-4,-4,1,2
0,0,0,219,1,-4,-4,-4,1,0,0,0,-4,1,3,1982,0,141400,1,3
0,0,0,220,2,1,0,1,1,0,1,0,-4,1,3,1984,0,48400,1,4
0,0,0,221,1,1,0,4,1,0,0,0,-4,2,9,1984,0,107700,1,4
0,0,0,222,1,-4,-4,-4,0,0,0,0,-4,1,1,1981,0,35000,1,2
0,0,0,223,1,-4,-4,-4,0,0,0,0,-4,1,1,1981,0,35000,1,2
0,0,0,224,1,-4,-4,-4,1,-1,0,0,-4,2,10,1982,0,57000,1,4
0,0,0,225,1,-4,-4,-4,1,0,0,0,-4,1,10,1980,0,-3,1,4
0,0,0,226,1,-4,-4,-4,0,0,0,0,-4,2,3,1981,0,2500,1,1
5,1,7,227,1,-4,-4,-4,0,0,0,1,1,2,1,1980,0,6014,1,3
0,0,0,228,1,1,0,1,0,0,0,0,-4,1,1,1984,0,-3,1,4
0,0,0,229,1,3,0,4,0,0,0,0,-4,2,2,1984,0,140,1,4
4,0,0,230,1,1,0,1,0,0,1,0,-4,1,5,1984,0,-3,1,2
3,0,0,231,3,-4,-4,-4,1,1,1,0,-4,1,11,1980,-4,-4,1,2
0,0,0,232,1,3,5,1,0,0,0,0,-4,1,6,1984,0,60,1,2
8,0,0,233,3,-4,-4,-4,1,1,1,0,-4,1,12,1980,0,36,1,2
1,0,0,234,1,3,0,6,0,1,0,0,-4,2,8,1983,-4,-4,1,2
0,0,0,235,1,-4,-4,-4,0,0,0,0,-4,2,8,1981,0,4500,1,4
0,0,0,236,2,1,0,1,1,0,0,0,-4,2,12,1984,0,35,1,2
0,0,0,237,1,1,0,4,0,0,0,0,-4,1,3,1983,0,-3,1,4
0,0,0,238,1,-4,-4,-4,0,0,0,0,-4,2,8,1981,-4,-4,1,4
0,0,0,239,1,-4,-4,-4,0,0,0,0,-4,1,9,1980,0,246474,1,4
0,0,0,240,1,1,0,4,0,0,0,0,-4,2,4,1983,0,246474,1,4
0,0,0,241,1,3,0,6,0,0,0,0,-4,2,2,1983,0,78000,1,2
0,0,0,242,1,1,2,4,0,0,0,0,-4,1,6,1984,0,78000,1,2
